codigo,descripcion,monto
PROD-00001,Dell Gabinete - Modelo 587,1302.74
PROD-00002,Razer Auricular - Modelo 723,470.41
PROD-00003,LG Gabinete - Modelo 840,2990.24
PROD-00004,Logitech Fuente - Modelo 558,3955.94
PROD-00005,Logitech Gabinete - Modelo 589,1711.3
PROD-00006,HP Mouse - Modelo 391,817.78
PROD-00007,Logitech Mouse - Modelo 136,433.87
PROD-00008,HP SSD - Modelo 717,4653.35
PROD-00009,ASUS Webcam - Modelo 429,4270.24
PROD-00010,Sony Monitor - Modelo 636,3799.13
PROD-00011,Kingston SSD - Modelo 960,1734.42
PROD-00012,ASUS Mouse - Modelo 229,1094.03
PROD-00013,Corsair Fuente - Modelo 510,2982.67
PROD-00014,ASUS Webcam - Modelo 115,3865.88
PROD-00015,LG RAM - Modelo 845,1838.34
PROD-00016,Razer Auricular - Modelo 633,3668.69
PROD-00017,ASUS RAM - Modelo 598,4840.02
PROD-00018,ASUS SSD - Modelo 272,470.91
PROD-00019,Samsung Monitor - Modelo 607,3242.56
PROD-00020,Corsair Teclado - Modelo 347,2773.36
PROD-00021,Logitech Fuente - Modelo 653,1503.93
PROD-00022,Sony Teclado - Modelo 692,1037.47
PROD-00023,LG RAM - Modelo 808,1965.93
PROD-00024,Dell Mouse - Modelo 933,4097.01
PROD-00025,Corsair Monitor - Modelo 781,868.87
PROD-00026,Samsung Auricular - Modelo 612,2444.65
PROD-00027,Razer RAM - Modelo 956,3128.23
PROD-00028,Logitech SSD - Modelo 674,2627.75
PROD-00029,Corsair Teclado - Modelo 953,4984.86
PROD-00030,HP Webcam - Modelo 111,4590.04
PROD-00031,Samsung SSD - Modelo 188,4146.35
PROD-00032,HP Gabinete - Modelo 991,880.12
PROD-00033,Razer Laptop - Modelo 755,1600.04
PROD-00034,Kingston SSD - Modelo 573,2482.64
PROD-00035,Samsung Webcam - Modelo 921,4580.07
PROD-00036,Sony Teclado - Modelo 960,912.74
PROD-00037,Samsung RAM - Modelo 532,1102.68
PROD-00038,Razer Gabinete - Modelo 861,2132.4
PROD-00039,Razer Auricular - Modelo 440,686.13
PROD-00040,Logitech Webcam - Modelo 191,557.25
PROD-00041,Samsung Mouse - Modelo 562,4065.69
PROD-00042,Razer RAM - Modelo 585,118.39
PROD-00043,Corsair Webcam - Modelo 729,694.44
PROD-00044,ASUS Mouse - Modelo 953,3487.13
PROD-00045,Kingston Webcam - Modelo 378,4572.21
PROD-00046,Razer SSD - Modelo 633,3305.07
PROD-00047,LG Laptop - Modelo 976,1279.36
PROD-00048,Dell RAM - Modelo 653,3015.44
PROD-00049,Kingston Fuente - Modelo 220,751.13
PROD-00050,Corsair Auricular - Modelo 906,2224.07
PROD-00051,Corsair Gabinete - Modelo 166,397.3
PROD-00052,HP Webcam - Modelo 751,3021.68
PROD-00053,Kingston Teclado - Modelo 433,644.59
PROD-00054,Dell Webcam - Modelo 717,3263.0
PROD-00055,HP Teclado - Modelo 720,2242.39
PROD-00056,Razer Auricular - Modelo 787,1185.3
PROD-00057,Logitech Mouse - Modelo 415,2437.36
PROD-00058,Dell SSD - Modelo 901,2230.52
PROD-00059,Logitech Laptop - Modelo 946,1716.71
PROD-00060,Logitech Mouse - Modelo 114,3001.91
PROD-00061,HP SSD - Modelo 771,1877.04
PROD-00062,Corsair Gabinete - Modelo 636,273.94
